dt x z theta phi_a v_a new_xc new_d_theta phi_t v_t
0.0070 -2.7743 6.2964 1.6882 0.3988 2.7863 1.2743 0.1174 0.3990 2.3980
0.0070 -2.7765 6.3158 1.6817 0.3988 2.7905 1.2765 0.1110 0.3990 2.3980
0.0070 -2.7785 6.3353 1.6753 0.3988 2.7946 1.2785 0.1045 0.3990 2.3980
0.0070 -2.7804 6.3547 1.6689 0.3988 2.7985 1.2804 0.0981 0.3990 2.3980
0.0070 -2.7822 6.3743 1.6624 0.3988 2.8022 1.2822 0.0916 0.3990 2.3980
0.0070 -2.7839 6.3938 1.6559 0.3988 2.8056 1.2839 0.0851 0.3990 2.3980
0.0070 -2.7854 6.4134 1.6495 0.3988 2.8089 1.2854 0.0787 0.3990 2.3980
0.0070 -2.7868 6.4331 1.6430 0.3988 2.8119 1.2868 0.0722 0.3990 2.3980
0.0070 -2.7881 6.4527 1.6365 0.3988 2.8148 1.2881 0.0657 0.3990 2.3980
0.0070 -2.7893 6.4724 1.6300 0.3988 2.8174 1.2893 0.0592 0.3990 2.3980
0.0070 -2.7903 6.4921 1.6235 0.3988 2.8199 1.2903 0.0527 0.3990 2.3980
0.0070 -2.7913 6.5119 1.6170 0.3988 2.8221 1.2913 0.0462 0.3990 2.3980
0.0070 -2.7920 6.5316 1.6105 0.3988 2.8242 1.2920 0.0397 0.3990 2.3980
0.0070 -2.7927 6.5514 1.6040 0.3988 2.8261 1.2927 0.0332 0.3990 2.3980
0.0070 -2.7932 6.5712 1.5975 0.3988 2.8277 1.2932 0.0267 0.3990 2.3980
0.0070 -2.7936 6.5910 1.5909 0.3988 2.8292 1.2936 0.0201 0.3990 2.3980
0.0070 -2.7939 6.6108 1.5844 0.3988 2.8306 1.2939 0.0136 0.3990 2.3980
0.0070 -2.7940 6.6306 1.5779 0.3988 2.8317 1.2940 0.0071 0.3990 2.3980
0.0070 -2.7940 6.6505 1.5714 0.3988 2.8326 1.2940 0.0006 0.3990 2.3980
0.0070 -2.7939 6.6703 1.5648 0.3988 2.8334 1.2939 -0.0060 0.3990 2.3980
0.0070 -2.7937 6.6901 1.5583 0.3988 2.8340 1.2937 -0.0125 0.3990 2.3980
0.0070 -2.7933 6.7100 1.5518 0.3988 2.8344 1.2933 -0.0190 0.3990 2.3980
0.0070 -2.7928 6.7298 1.5452 0.3988 2.8347 1.2928 -0.0256 0.3990 2.3980
0.0070 -2.7922 6.7496 1.5387 0.3988 2.8348 1.2922 -0.0321 0.3990 2.3980
0.0070 -2.7914 6.7695 1.5322 0.3988 2.8347 1.2914 -0.0386 0.3990 2.3980
0.0070 -2.7905 6.7893 1.5256 0.3988 2.8345 1.2905 -0.0452 0.3990 2.3980
0.0070 -2.7895 6.8091 1.5191 0.3988 2.8341 1.2895 -0.0517 0.3990 2.3980
0.0070 -2.7883 6.8289 1.5126 0.3988 2.8335 1.2883 -0.0582 0.3990 2.3980
0.0070 -2.7870 6.8487 1.5060 0.3988 2.8328 1.2870 -0.0648 0.3990 2.3980
0.0070 -2.7856 6.8685 1.4995 0.3988 2.8319 1.2856 -0.0713 0.3990 2.3980
0.0070 -2.7841 6.8882 1.4930 0.3988 2.8309 1.2841 -0.0778 0.3990 2.3980
0.0070 -2.7824 6.9079 1.4865 0.3988 2.8297 1.2824 -0.0843 0.3990 2.3980
0.0070 -2.7806 6.9277 1.4799 0.3988 2.8284 1.2806 -0.0908 0.3990 2.3980
0.0070 -2.7787 6.9474 1.4734 0.3988 2.8269 1.2787 -0.0974 0.3990 2.3980
0.0070 -2.7766 6.9670 1.4669 0.3988 2.8254 1.2766 -0.1039 0.3990 2.3980
