dt x z theta new_xc de new_d_theta phi_t v_m phi_m phi_d
newcycle
0.0240 -0.0036 0.4213 1.5841 -0.9708 -0.0782 0.0836 0.2327 0.9190 0.1450 -0.0012
0.0240 -0.0038 0.4435 1.5809 -0.9690 -0.0879 0.0804 0.2208 0.9260 0.1850 -0.0012
0.0290 -0.0039 0.4708 1.5759 -0.9670 -0.1011 0.0753 0.2056 0.9400 0.2310 -0.0012
0.0250 -0.0039 0.4944 1.5714 -0.9653 -0.1221 0.0708 0.1812 0.9440 0.2380 -0.0012
newcycle
0.0420 0.0006 0.2692 1.5523 -0.9370 -0.1458 0.0566 0.1374 0.9510 0.2370 -0.0012
0.0240 0.0011 0.2923 1.5484 -0.9358 -0.1781 0.0527 0.1023 0.9620 0.2130 -0.0012
0.0230 0.0016 0.3147 1.5451 -0.9347 -0.1948 0.0494 0.0844 0.9740 0.1830 -0.0012
0.0230 0.0023 0.3373 1.5422 -0.9336 -0.2085 0.0465 0.0698 0.9810 0.1640 -0.0012
0.0240 0.0030 0.3611 1.5396 -0.9326 -0.2209 0.0439 0.0566 0.9930 0.1380 -0.0012
0.0230 0.0038 0.3840 1.5373 -0.9316 -0.2317 0.0416 0.0452 0.9960 0.1300 -0.0012
0.0230 0.0046 0.4071 1.5355 -0.9307 -0.2415 0.0397 0.0347 1.0070 0.1020 -0.0012
0.0230 0.0055 0.4304 1.5339 -0.9298 -0.2491 0.0381 0.0265 1.0140 0.0870 -0.0012
0.0270 0.0065 0.4581 1.5325 -0.9288 -0.2555 0.0368 0.0194 1.0270 0.0610 -0.0012
0.0250 0.0076 0.4839 1.5314 -0.9279 -0.2606 0.0357 0.0138 1.0300 0.0560 -0.0012
newcycle
0.0370 0.0061 0.2940 1.5392 -0.8989 -0.0745 0.0701 0.1879 1.0370 0.0450 0.0000
0.0230 0.0068 0.3178 1.5384 -0.8973 -0.0780 0.0692 0.1821 1.0370 0.0450 0.0000
0.0230 0.0077 0.3419 1.5360 -0.8956 -0.0802 0.0669 0.1784 1.0450 0.1250 0.0000
0.0230 0.0086 0.3660 1.5330 -0.8941 -0.0894 0.0638 0.1672 1.0500 0.1610 0.0000
0.0280 0.0098 0.3955 1.5292 -0.8923 -0.1019 0.0601 0.1530 1.0550 0.1610 0.0000
0.0230 0.0109 0.4198 1.5256 -0.8910 -0.1173 0.0565 0.1347 1.0570 0.1860 0.0000
0.0240 0.0122 0.4453 1.5219 -0.8896 -0.1323 0.0528 0.1175 1.0640 0.1850 0.0000
0.0230 0.0135 0.4698 1.5184 -0.8884 -0.1481 0.0493 0.0999 1.0680 0.1780 0.0000
0.0270 0.0151 0.4987 1.5145 -0.8871 -0.1627 0.0454 0.0839 1.0700 0.1730 0.0000
newcycle
0.0400 0.0038 0.2857 1.5398 -0.8773 -0.2002 0.0337 0.0397 1.0730 0.1590 0.0000
0.0240 0.0047 0.3115 1.5366 -0.8765 -0.2234 0.0304 0.0158 1.0770 0.1590 0.0000
0.0360 0.0061 0.3503 1.5339 -0.8754 -0.2375 0.0277 0.0015 1.0780 0.0890 0.0000
0.0240 0.0071 0.3762 1.5329 -0.8747 -0.2489 0.0268 -0.0102 1.0800 0.0480 0.0000
0.0240 0.0081 0.4021 1.5319 -0.8740 -0.2527 0.0258 -0.0144 1.0820 0.0480 0.0000
0.0240 0.0091 0.4281 1.5317 -0.8734 -0.2565 0.0256 -0.0185 1.0830 0.0100 0.0000
0.0240 0.0101 0.4541 1.5317 -0.8727 -0.2568 0.0256 -0.0192 1.0840 -0.0020 0.0000
0.0240 0.0112 0.4801 1.5320 -0.8720 -0.2559 0.0258 -0.0188 1.0840 -0.0110 0.0000
0.0230 0.0121 0.5050 1.5323 -0.8714 -0.2542 0.0262 -0.0177 1.0850 -0.0190 0.0000
0.0230 0.0131 0.5300 1.5328 -0.8707 -0.2519 0.0267 -0.0158 1.0860 -0.0230 0.0000
newcycle
0.0470 0.0038 0.3524 1.5593 -0.8489 -0.1277 0.0498 0.0954 1.0860 -0.0230 0.0000
0.0230 0.0041 0.3773 1.5592 -0.8477 -0.1210 0.0496 0.1009 1.0850 0.0090 0.0000
0.0230 0.0044 0.4023 1.5585 -0.8465 -0.1207 0.0489 0.1004 1.0840 0.0360 0.0000
0.0230 0.0047 0.4272 1.5573 -0.8453 -0.1227 0.0477 0.0974 1.0830 0.0580 0.0000
0.0230 0.0051 0.4520 1.5557 -0.8442 -0.1268 0.0461 0.0923 1.0810 0.0820 0.0000
0.0250 0.0056 0.4791 1.5539 -0.8430 -0.1331 0.0443 0.0849 1.0810 0.0870 0.0000
0.0230 0.0060 0.5039 1.5521 -0.8419 -0.1404 0.0425 0.0764 1.0800 0.0900 0.0000
0.0230 0.0065 0.5287 1.5503 -0.8409 -0.1475 0.0407 0.0684 1.0790 0.0930 0.0000
0.0230 0.0071 0.5534 1.5486 -0.8399 -0.1548 0.0389 0.0601 1.0760 0.0920 0.0000
0.0250 0.0077 0.5803 1.5467 -0.8389 -0.1621 0.0370 0.0521 1.0740 0.0900 0.0000
newcycle
0.0470 0.0017 0.3261 1.5555 -0.8320 -0.2162 0.0222 -0.0071 1.0730 0.0880 -0.0008
0.0240 0.0021 0.3518 1.5545 -0.8314 -0.2311 0.0211 -0.0223 1.0700 0.0530 -0.0008
0.0230 0.0025 0.3764 1.5542 -0.8309 -0.2355 0.0208 -0.0268 1.0670 0.0170 -0.0008
0.0220 0.0029 0.3998 1.5538 -0.8304 -0.2365 0.0205 -0.0281 1.0670 0.0170 -0.0008
0.0320 0.0035 0.4339 1.5539 -0.8297 -0.2374 0.0205 -0.0292 1.0640 -0.0010 -0.0008
0.0250 0.0040 0.4604 1.5543 -0.8292 -0.2366 0.0209 -0.0289 1.0610 -0.0190 -0.0008
0.0230 0.0043 0.4848 1.5547 -0.8287 -0.2342 0.0213 -0.0269 1.0600 -0.0230 -0.0008
0.0270 0.0048 0.5133 1.5553 -0.8280 -0.2317 0.0219 -0.0247 1.0570 -0.0280 -0.0008
newcycle
0.0380 0.0011 0.2661 1.5678 -0.8165 -0.1413 0.0396 0.0593 1.0560 -0.0300 0.0000
0.0230 0.0011 0.2904 1.5677 -0.8156 -0.1354 0.0396 0.0645 1.0530 0.0030 0.0000
0.0230 0.0012 0.3145 1.5673 -0.8146 -0.1347 0.0392 0.0647 1.0500 0.0200 0.0000
0.0230 0.0013 0.3386 1.5666 -0.8137 -0.1355 0.0384 0.0633 1.0470 0.0410 0.0000
0.0330 0.0015 0.3731 1.5652 -0.8124 -0.1381 0.0371 0.0600 1.0450 0.0500 0.0000
0.0390 0.0018 0.4137 1.5634 -0.8110 -0.1431 0.0352 0.0540 1.0430 0.0570 0.0000
0.0230 0.0020 0.4377 1.5623 -0.8102 -0.1500 0.0341 0.0460 1.0410 0.0590 0.0000
0.0320 0.0023 0.4710 1.5608 -0.8091 -0.1542 0.0326 0.0411 1.0400 0.0590 0.0000
newcycle
0.0420 0.0006 0.2940 1.5634 -0.8099 -0.1901 0.0246 0.0055 1.0380 0.0570 0.0000
0.0230 0.0008 0.3178 1.5626 -0.8093 -0.1979 0.0238 -0.0030 1.0370 0.0410 0.0000
0.0340 0.0011 0.3530 1.5619 -0.8085 -0.2009 0.0231 -0.0062 1.0350 0.0240 0.0000
0.0340 0.0014 0.3882 1.5616 -0.8077 -0.2031 0.0228 -0.0089 1.0340 0.0130 0.0000
0.0230 0.0016 0.4119 1.5615 -0.8072 -0.2039 0.0227 -0.0103 1.0330 0.0040 0.0000
0.0240 0.0019 0.4367 1.5616 -0.8066 -0.2037 0.0228 -0.0104 1.0310 -0.0060 0.0000
0.0230 0.0021 0.4604 1.5618 -0.8060 -0.2027 0.0230 -0.0096 1.0300 -0.0100 0.0000
0.0240 0.0023 0.4851 1.5620 -0.8055 -0.2013 0.0233 -0.0086 1.0300 -0.0120 0.0000
0.0290 0.0025 0.5149 1.5623 -0.8048 -0.1996 0.0236 -0.0074 1.0290 -0.0130 0.0000
newcycle
0.0370 0.0009 0.2965 1.5678 -0.8038 -0.1557 0.0331 0.0365 1.0290 -0.0130 0.0000
0.0220 0.0010 0.3191 1.5678 -0.8031 -0.1527 0.0331 0.0388 1.0280 -0.0010 0.0000
0.0230 0.0011 0.3427 1.5676 -0.8023 -0.1518 0.0329 0.0391 1.0280 0.0100 0.0000
0.0240 0.0012 0.3674 1.5672 -0.8015 -0.1519 0.0325 0.0385 1.0280 0.0220 0.0000
0.0240 0.0013 0.3921 1.5666 -0.8007 -0.1530 0.0320 0.0368 1.0280 0.0290 0.0000
0.0230 0.0014 0.4157 1.5660 -0.8000 -0.1548 0.0313 0.0344 1.0280 0.0330 0.0000
0.0240 0.0015 0.4404 1.5653 -0.7992 -0.1569 0.0306 0.0318 1.0280 0.0370 0.0000
0.0240 0.0017 0.4651 1.5646 -0.7985 -0.1594 0.0299 0.0287 1.0280 0.0380 0.0000
0.0230 0.0018 0.4887 1.5639 -0.7978 -0.1621 0.0292 0.0256 1.0280 0.0370 0.0000
0.0250 0.0020 0.5144 1.5632 -0.7971 -0.1645 0.0285 0.0226 1.0290 0.0360 0.0000
newcycle
0.0550 0.0005 0.3167 1.5654 -0.8057 -0.1976 0.0225 -0.0044 1.0290 0.0340 0.0000
0.0300 0.0007 0.3476 1.5646 -0.8050 -0.2033 0.0217 -0.0108 1.0300 0.0340 0.0000
0.0310 0.0009 0.3796 1.5645 -0.8044 -0.2064 0.0216 -0.0143 1.0300 0.0050 0.0000
0.0240 0.0011 0.4043 1.5646 -0.8038 -0.2063 0.0217 -0.0147 1.0310 -0.0050 0.0000
0.0240 0.0012 0.4291 1.5647 -0.8033 -0.2053 0.0218 -0.0141 1.0320 -0.0080 0.0000
0.0280 0.0014 0.4580 1.5650 -0.8026 -0.2040 0.0222 -0.0133 1.0330 -0.0150 0.0000
newcycle
0.0250 0.0004 0.2299 1.5694 -0.8057 -0.1763 0.0289 0.0164 1.0340 -0.0170 0.0000
0.0460 0.0004 0.2774 1.5700 -0.8043 -0.1740 0.0296 0.0182 1.0340 -0.0180 0.0000
0.0350 0.0005 0.3137 1.5701 -0.8033 -0.1695 0.0296 0.0218 1.0350 -0.0030 0.0000
0.0230 0.0005 0.3375 1.5699 -0.8026 -0.1680 0.0294 0.0225 1.0370 0.0130 0.0000
0.0230 0.0005 0.3614 1.5695 -0.8019 -0.1684 0.0290 0.0216 1.0380 0.0200 0.0000
0.0240 0.0006 0.3863 1.5690 -0.8012 -0.1694 0.0285 0.0201 1.0390 0.0250 0.0000
0.0240 0.0006 0.4113 1.5685 -0.8005 -0.1710 0.0280 0.0180 1.0400 0.0250 0.0000
0.0230 0.0007 0.4352 1.5680 -0.7998 -0.1725 0.0275 0.0160 1.0410 0.0270 0.0000
0.0270 0.0008 0.4633 1.5674 -0.7990 -0.1742 0.0270 0.0139 1.0410 0.0270 0.0000
0.0240 0.0009 0.4883 1.5670 -0.7984 -0.1762 0.0265 0.0114 1.0420 0.0240 0.0000
newcycle
0.0310 0.0001 0.3239 1.5680 -0.8025 -0.2002 0.0221 -0.0099 1.0430 0.0220 0.0000
0.0240 0.0002 0.3490 1.5676 -0.8019 -0.2021 0.0216 -0.0122 1.0430 0.0220 0.0000
0.0240 0.0003 0.3740 1.5674 -0.8014 -0.2036 0.0215 -0.0140 1.0440 0.0080 0.0000
0.0250 0.0004 0.4001 1.5674 -0.8008 -0.2037 0.0215 -0.0145 1.0450 -0.0020 0.0000
0.0230 0.0004 0.4242 1.5676 -0.8003 -0.2030 0.0217 -0.0142 1.0460 -0.0100 0.0000
0.0240 0.0005 0.4493 1.5679 -0.7997 -0.2016 0.0220 -0.0132 1.0470 -0.0140 0.0000
0.0230 0.0006 0.4734 1.5682 -0.7992 -0.1998 0.0223 -0.0118 1.0470 -0.0170 0.0000
0.0230 0.0006 0.4975 1.5685 -0.7987 -0.1978 0.0226 -0.0102 1.0480 -0.0170 0.0000
0.0230 0.0007 0.5216 1.5689 -0.7981 -0.1958 0.0229 -0.0086 1.0490 -0.0180 0.0000
0.0230 0.0007 0.5458 1.5692 -0.7975 -0.1937 0.0232 -0.0069 1.0490 -0.0170 0.0000
0.0230 0.0007 0.5699 1.5695 -0.7970 -0.1917 0.0235 -0.0053 1.0500 -0.0160 0.0000
0.0240 0.0008 0.5951 1.5698 -0.7964 -0.1897 0.0238 -0.0038 1.0500 -0.0140 0.0000
0.0240 0.0008 0.6203 1.5700 -0.7958 -0.1879 0.0241 -0.0023 1.0500 -0.0130 0.0000
0.0230 0.0008 0.6445 1.5703 -0.7952 -0.1861 0.0243 -0.0010 1.0510 -0.0130 0.0000
0.0230 0.0008 0.6687 1.5704 -0.7946 -0.1844 0.0245 0.0003 1.0510 -0.0080 0.0000
0.0240 0.0008 0.6939 1.5706 -0.7940 -0.1831 0.0246 0.0012 1.0510 -0.0060 0.0000
0.0240 0.0008 0.7191 1.5706 -0.7933 -0.1820 0.0247 0.0019 1.0510 -0.0040 0.0000
0.0230 0.0008 0.7433 1.5707 -0.7928 -0.1810 0.0247 0.0025 1.0510 -0.0040 0.0000
newcycle
